Candidate 0,Candidate 1,Accuracy,TPR (recall),TNR,PPV (precision),NPV,F1
Zhirinovsky,Zyuganov,61.8,42.4,79.9,66.3,59.8,0.517
Zhirinovsky,Zyuganov,62.3,59.0,65.4,61.4,63.1,0.601
Zhirinovsky,Zyuganov,64.3,52.5,75.3,66.5,63.0,0.5870000000000001
Zhirinovsky,Navalny,81.4,82.0,80.8,81.0,81.8,0.815
Zhirinovsky,Navalny,79.4,79.2,79.5,79.5,79.3,0.7929999999999999
Zhirinovsky,Navalny,82.2,82.2,82.2,82.2,82.2,0.8220000000000001
Zhirinovsky,Putin,70.8,77.5,64.0,68.3,74.0,0.726
Zhirinovsky,Putin,66.3,73.5,59.1,64.3,69.1,0.6859999999999999
Zhirinovsky,Putin,71.6,77.4,65.7,69.3,74.4,0.731
Zhirinovsky,Khodorkovsky,75.0,64.4,83.5,75.9,74.4,0.6970000000000001
Zhirinovsky,Khodorkovsky,76.7,75.5,77.7,73.3,79.6,0.7440000000000001
Zhirinovsky,Khodorkovsky,77.6,68.8,84.6,78.4,77.0,0.733
Zhirinovsky,Shoigu,58.2,58.3,58.0,58.2,58.2,0.5820000000000001
Zhirinovsky,Shoigu,56.3,60.0,52.5,55.8,56.8,0.578
Zhirinovsky,Shoigu,60.8,66.3,55.2,59.7,62.1,0.628
Zhirinovsky,Don't know,58.0,65.2,50.8,57.0,59.4,0.608
Zhirinovsky,Don't know,58.4,63.9,52.8,57.5,59.4,0.605
Zhirinovsky,Don't know,62.1,67.8,56.4,60.9,63.7,0.642
Zhirinovsky,Against all,76.1,80.5,71.8,74.1,78.6,0.7709999999999999
Zhirinovsky,Against all,73.5,82.8,64.2,69.8,78.9,0.758
Zhirinovsky,Against all,73.5,77.1,69.9,71.9,75.4,0.7440000000000001
Zyuganov,Navalny,81.3,82.6,80.0,81.6,81.1,0.821
Zyuganov,Navalny,82.1,84.0,80.0,81.8,82.3,0.8290000000000001
Zyuganov,Navalny,81.8,84.9,78.3,80.8,82.9,0.828
Zyuganov,Putin,70.3,72.4,68.1,70.9,69.7,0.7170000000000001
Zyuganov,Putin,65.4,86.1,43.2,61.9,74.4,0.721
Zyuganov,Putin,69.8,84.0,54.5,66.5,76.1,0.742
Zyuganov,Khodorkovsky,74.3,68.1,79.7,74.4,74.2,0.711
Zyuganov,Khodorkovsky,76.0,67.7,83.2,77.8,74.7,0.7240000000000001
Zyuganov,Khodorkovsky,73.9,64.4,82.2,75.9,72.6,0.6970000000000001
Zyuganov,Shoigu,61.5,75.7,46.3,60.2,64.0,0.6709999999999999
Zyuganov,Shoigu,63.4,60.9,66.1,65.9,61.1,0.633
Zyuganov,Shoigu,63.4,69.6,56.7,63.3,63.5,0.6629999999999999
Zyuganov,Don't know,63.8,76.9,49.8,62.2,66.8,0.688
Zyuganov,Don't know,64.3,71.4,56.7,63.9,64.9,0.675
Zyuganov,Don't know,62.3,84.6,38.3,59.6,70.0,0.6990000000000001
Zyuganov,Against all,76.4,83.8,68.4,74.0,79.7,0.7859999999999999
Zyuganov,Against all,74.6,80.4,68.3,73.2,76.5,0.7659999999999999
Zyuganov,Against all,73.2,82.8,62.9,70.5,77.3,0.762
Navalny,Putin,82.9,88.3,77.5,79.7,86.9,0.838
Navalny,Putin,83.0,92.7,73.2,77.6,91.0,0.845
Navalny,Putin,84.8,90.9,78.6,81.0,89.7,0.857
Navalny,Khodorkovsky,62.4,25.1,92.5,73.1,60.4,0.374
Navalny,Khodorkovsky,68.9,51.8,82.8,71.0,67.9,0.599
Navalny,Khodorkovsky,66.9,42.5,86.7,72.3,65.0,0.536
Navalny,Shoigu,83.9,83.2,84.7,84.4,83.4,0.838
Navalny,Shoigu,85.1,83.7,86.4,86.1,84.2,0.8490000000000001
Navalny,Shoigu,83.4,79.5,87.3,86.3,81.0,0.828
Navalny,Don't know,78.1,75.4,80.8,79.7,76.7,0.775
Navalny,Don't know,79.1,79.5,78.6,78.8,79.3,0.792
Navalny,Don't know,79.4,78.6,80.1,79.8,78.9,0.792
Navalny,Against all,67.6,72.4,62.8,66.1,69.5,0.691
Navalny,Against all,63.3,73.2,53.4,61.1,66.6,0.6659999999999999
Navalny,Against all,64.4,69.9,58.8,62.9,66.2,0.662
Putin,Khodorkovsky,74.1,62.5,83.5,75.4,73.4,0.684
Putin,Khodorkovsky,74.9,54.8,91.2,83.6,71.3,0.662
Putin,Khodorkovsky,77.2,64.0,87.9,81.2,75.1,0.716
Putin,Shoigu,69.7,63.4,76.0,72.6,67.5,0.677
Putin,Shoigu,68.7,63.3,74.1,71.0,66.9,0.669
